                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.5105,                 1.8938,                  1.584,                0.55663,                0.56491,                0.55651,                0.50422,                  1.653,                 1.8147,                 1.7858,               0.008218,               0.008218,               0.008218
                     56,                 1.4903,                  1.867,                 1.5754,                0.56606,                0.53923,                0.54502,                  0.488,                 1.7036,                 1.8816,                 1.8213,               0.008185,               0.008185,               0.008185
                     57,                 1.4898,                 1.8519,                 1.5745,                 0.5357,                0.56671,                0.55684,                0.50266,                 1.6681,                 1.8356,                 1.7733,               0.008152,               0.008152,               0.008152
                     58,                 1.4745,                 1.8258,                 1.5583,                0.59378,                0.53024,                0.56904,                0.51496,                 1.6806,                 1.8789,                 1.7771,               0.008119,               0.008119,               0.008119
                     59,                 1.4862,                 1.8253,                 1.5634,                0.52207,                0.52438,                0.50845,                 0.4597,                 1.6846,                 1.9003,                 1.7748,               0.008086,               0.008086,               0.008086
                     60,                  1.487,                 1.8125,                 1.5656,                0.53141,                0.52468,                0.53553,                0.48771,                 1.6696,                 1.8723,                 1.7634,               0.008053,               0.008053,               0.008053
                     61,                 1.4644,                 1.8296,                 1.5574,                0.50983,                0.49229,                0.48581,                0.42886,                 1.7056,                 1.9912,                 1.8047,                0.00802,                0.00802,                0.00802
                     62,                 1.4736,                 1.8305,                 1.5529,                0.58751,                0.55924,                0.58339,                0.52961,                 1.6296,                 1.7465,                 1.7503,               0.007987,               0.007987,               0.007987
                     63,                 1.4795,                 1.8207,                 1.5584,                0.60272,                 0.5605,                0.58157,                 0.5273,                 1.6221,                 1.7867,                 1.7308,               0.007954,               0.007954,               0.007954
                     64,                 1.4634,                 1.8035,                 1.5501,                0.54526,                0.55372,                0.55273,                0.50431,                 1.6028,                 1.7649,                  1.722,               0.007921,               0.007921,               0.007921
                     65,                 1.4672,                 1.8106,                 1.5472,                0.60085,                0.51143,                0.53593,                0.48224,                 1.6676,                 1.8802,                 1.7642,               0.007888,               0.007888,               0.007888
                     66,                 1.4747,                 1.7976,                 1.5522,                0.60106,                0.57448,                0.58772,                0.53132,                 1.6757,                 1.7486,                  1.767,               0.007855,               0.007855,               0.007855
                     67,                 1.4572,                  1.774,                 1.5431,                 0.5818,                0.55819,                0.56067,                0.50594,                 1.6477,                 1.8001,                 1.7569,               0.007822,               0.007822,               0.007822
                     68,                 1.4583,                 1.7788,                 1.5468,                0.54988,                0.55586,                0.57714,                0.52665,                 1.6171,                 1.7431,                 1.7253,               0.007789,               0.007789,               0.007789
                     69,                 1.4549,                 1.7862,                 1.5459,                0.57323,                0.56944,                0.58354,                0.53336,                 1.5912,                 1.7348,                 1.7263,               0.007756,               0.007756,               0.007756
                     70,                 1.4545,                 1.7585,                 1.5351,                0.58349,                0.54932,                0.58867,                0.53833,                 1.6101,                 1.7541,                 1.7468,               0.007723,               0.007723,               0.007723
                     71,                 1.4405,                 1.7452,                 1.5283,                0.54786,                0.57936,                0.58092,                0.52338,                 1.6713,                 1.7731,                 1.7727,                0.00769,                0.00769,                0.00769
                     72,                 1.4591,                 1.7659,                 1.5484,                  0.587,                0.56265,                0.59135,                 0.5357,                 1.6293,                 1.7321,                  1.753,               0.007657,               0.007657,               0.007657
                     73,                 1.4532,                 1.7718,                 1.5412,                0.56064,                0.56951,                0.57908,                0.52704,                  1.611,                 1.7191,                 1.7388,               0.007624,               0.007624,               0.007624
                     74,                 1.4396,                 1.7427,                 1.5324,                0.59756,                0.55174,                0.58348,                0.53649,                 1.6608,                 1.7339,                 1.7446,               0.007591,               0.007591,               0.007591
